"locus","chrom","pos","cM"
"SNP0874","18",7001063,NA
"SNP0875","18",7452011,NA
"SNP0876","18",7723477,NA
"SNP0877","18",7926516,NA
"SNP0878","18",8248032,NA
"SNP0879","18",8454511,NA
"SNP0880","18",8535210,NA
"SNP0881","18",8717417,NA
"SNP0882","18",8730548,NA
"SNP0883","18",8823823,NA
"SNP0884","18",9311945,NA
"SNP0885","18",9725333,NA
"SNP0886","18",10014138,NA
"SNP0887","18",10161264,NA
"SNP0888","18",10470737,NA
"SNP0889","18",10679524,NA
"SNP0890","18",11069647,NA
"SNP0891","18",11342815,NA
"SNP0892","18",11831765,NA
"SNP0893","18",12012575,NA
"SNP0894","18",12239241,NA
"SNP0895","18",12449265,NA
"SNP0896","18",12600491,NA
"SNP0897","18",12844444,NA
"SNP0898","18",12962844,NA
"SNP0899","18",13143866,NA
"SNP0900","18",13242028,NA
"SNP0901","19",1219541,NA
"SNP0902","19",1366327,NA
"SNP0903","19",1688034,NA
"SNP0904","19",1877275,NA
"SNP0905","19",2261565,NA
"SNP0906","19",2339362,NA
"SNP0907","19",2579617,NA
"SNP0908","19",2786117,NA
"SNP0909","19",2968097,NA
"SNP0910","19",3455289,NA
"SNP0911","19",3593416,NA
"SNP0912","19",3621733,NA
"SNP0913","19",3859791,NA
"SNP0914","19",3957042,NA
"SNP0915","19",4098069,NA
"SNP0916","19",4168918,NA
"SNP0917","19",4224930,NA
"SNP0918","19",4235439,NA
"SNP0919","19",4732425,NA
"SNP0920","19",5194568,NA
"SNP0921","19",5219563,NA
"SNP0922","19",5573022,NA
"SNP0923","19",5818999,NA
"SNP0924","19",5993945,NA
"SNP0925","19",6075638,NA
"SNP0926","19",6570647,NA
"SNP0927","19",6900312,NA
"SNP0928","19",6991645,NA
"SNP0929","19",7418061,NA
"SNP0930","19",7514049,NA
"SNP0931","19",7871049,NA
"SNP0932","19",7884137,NA
"SNP0933","19",8077190,NA
"SNP0934","19",8196441,NA
"SNP0935","19",8617596,NA
"SNP0936","19",9100579,NA
"SNP0937","19",9213296,NA
"SNP0938","19",9436021,NA
"SNP0939","19",9451668,NA
"SNP0940","19",9847559,NA
"SNP0941","19",10223907,NA
"SNP0942","19",10360069,NA
"SNP0943","19",10382020,NA
"SNP0944","19",10691427,NA
"SNP0945","19",10844002,NA
"SNP0946","19",11112717,NA
"SNP0947","19",11265940,NA
"SNP0948","19",11547745,NA
"SNP0949","19",11997081,NA
"SNP0950","19",12418302,NA
"SNP0951","20",1117455,NA
"SNP0952","20",1140243,NA
"SNP0953","20",1192327,NA
"SNP0954","20",1236571,NA
"SNP0955","20",1345305,NA
"SNP0956","20",1709354,NA
"SNP0957","20",1802904,NA
"SNP0958","20",2183399,NA
"SNP0959","20",2291167,NA
"SNP0960","20",2754840,NA
"SNP0961","20",2915197,NA
"SNP0962","20",3168650,NA
"SNP0963","20",3270518,NA
"SNP0964","20",3657026,NA
"SNP0965","20",4128763,NA
"SNP0966","20",4588000,NA
"SNP0967","20",5016135,NA
"SNP0968","20",5327053,NA
"SNP0969","20",5575871,NA
"SNP0970","20",5609458,NA
"SNP0971","20",5743344,NA
"SNP0972","20",5767410,NA
"SNP0973","20",6262978,NA
"SNP0974","20",6336990,NA
"SNP0975","20",6517028,NA
"SNP0976","20",6691970,NA
"SNP0977","20",6715899,NA
"SNP0978","20",7092863,NA
"SNP0979","20",7591429,NA
"SNP0980","20",7736110,NA
"SNP0981","20",8125131,NA
"SNP0982","20",8224395,NA
"SNP0983","20",8420574,NA
"SNP0984","20",8800985,NA
"SNP0985","20",9018315,NA
"SNP0986","20",9322934,NA
"SNP0987","20",9708990,NA
"SNP0988","20",9922482,NA
"SNP0989","20",10300850,NA
"SNP0990","20",10637751,NA
"SNP0991","20",10899247,NA
"SNP0992","20",10971861,NA
"SNP0993","20",11146734,NA
"SNP0994","20",11287521,NA
"SNP0995","20",11695339,NA
"SNP0996","20",12005595,NA
"SNP0997","20",12314651,NA
"SNP0998","20",12807657,NA
"SNP0999","20",13217002,NA
"SNP1000","20",13580581,NA
